period,subba,subba-name,parent,parent-name,timezone,value,value-units
2025-11-05,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,259338,megawatthours
2025-11-05,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,258917,megawatthours
2025-11-05,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,258733,megawatthours
2025-11-05,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,259338,megawatthours
2025-11-05,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,259729,megawatthours
2025-11-05,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,283604,megawatthours
2025-11-05,SCE,Southern California Edison,CISO,California Independent System Operator,Central,283693,megawatthours
2025-11-05,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,283695,megawatthours
2025-11-05,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,283604,megawatthours
2025-11-05,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,283553,megawatthours
2025-11-05,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,54090,megawatthours
2025-11-05,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,54146,megawatthours
2025-11-05,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,54146,megawatthours
2025-11-05,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,54090,megawatthours
2025-11-05,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,54036,megawatthours
2025-11-05,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,1964,megawatthours
2025-11-05,VEA,Valley Electric Association,CISO,California Independent System Operator,Central,1963,megawatthours
2025-11-05,VEA,Valley Electric Association,CISO,California Independent System Operator,Eastern,1962,megawatthours
2025-11-05,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,1964,megawatthours
2025-11-05,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,1964,megawatthours
2025-11-04,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,251243,megawatthours
2025-11-04,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,251115,megawatthours
2025-11-04,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,251012,megawatthours
2025-11-04,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,251243,megawatthours
2025-11-04,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,251311,megawatthours
2025-11-04,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,288622,megawatthours
2025-11-04,SCE,Southern California Edison,CISO,California Independent System Operator,Central,288523,megawatthours
2025-11-04,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,288494,megawatthours
2025-11-04,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,288622,megawatthours
2025-11-04,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,288662,megawatthours
2025-11-04,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,52038,megawatthours
2025-11-04,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,52104,megawatthours
2025-11-04,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,52109,megawatthours
2025-11-04,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,52038,megawatthours
2025-11-04,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,52060,megawatthours
2025-11-04,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,1981,megawatthours
2025-11-04,VEA,Valley Electric Association,CISO,California Independent System Operator,Central,1981,megawatthours
2025-11-04,VEA,Valley Electric Association,CISO,California Independent System Operator,Eastern,1981,megawatthours
2025-11-04,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,1981,megawatthours
2025-11-04,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,1982,megawatthours
2025-11-03,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,245222,megawatthours
2025-11-03,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,244765,megawatthours
2025-11-03,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,244232,megawatthours
2025-11-03,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,245222,megawatthours
2025-11-03,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,245800,megawatthours
2025-11-03,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,282690,megawatthours
2025-11-03,SCE,Southern California Edison,CISO,California Independent System Operator,Central,282070,megawatthours
2025-11-03,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,281508,megawatthours
2025-11-03,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,282690,megawatthours
2025-11-03,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,283318,megawatthours
2025-11-03,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,54043,megawatthours
2025-11-03,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,53958,megawatthours
2025-11-03,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,53907,megawatthours
2025-11-03,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,54043,megawatthours
2025-11-03,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,53955,megawatthours
2025-11-03,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,1985,megawatthours
